evaluation_row_id,linked_event_id,disease,virus_or_syndrome,country,subnational_location,date_start,date_end,date_anchor,date_anchor_field,reporting_period,statistical_count_type,collection_case_count,collection_death_count,collection_source_ids,collection_source_urls,collection_evidence_quotes,validation_source_ids,validation_source_urls,validation_case_count,validation_death_count,validation_evidence_quotes,case_count_difference,death_count_difference,field_level_match_status,overall_match_status,masking_compliance_status,provenance_completeness_status,human_review_flag,review_reason
eval_001,event_005,Hantavirus disease,COVID-19,China,Shanghai,,,2022-04-20,date_reported,,subset,,,src_search_0a2ee30734f3,https://finance.yahoo.com/news/explainer-shanghai-death-numbers-raise-063847555.html,"arency, everything is just a guess,"" said He. ""It's a reasonable guess, it's an educated guess, but it is still a guess."" The Shanghai government did not immediately respond to a request for comment. The Chinese government and state media have repeatedly dismissed claims that COVID deaths have been under-reported. ARE THE ELDERLY BETTER PROTECTED? Most people infected in Shanghai are young, with the local government estimating on April 20 that only a fifth of positive cases were over 60, compared with 27% in Hong Kong. The majority of deaths in both cities have been among elderly, unvaccinated people with underlying health problems. Story Continues Shanghai is now making more resources available to improve vaccination rates among the elderly. Around 62% of Shanghai residents aged 60 or over had received a full vaccination so far and 38% of the over 60s had received a booster shot, according to Zhao Dandan, the deputy director of the municipal health commission. ARE ALL COVID-RELATED DEATHS INCLUDED IN DATA? China does not give a definition for what it determines to be a COVID death, prompting speculation that not all fatalities related to the coronavirus are counted in official statistics. Relatives of patients at the Donghai Elderly Care Hospital, Shanghai's largest care home, said several residents caught COVID-19 there and died in late March and early April, which wasn't reported in official data at the time. Calls to the Donghai hospital were not answered. Reports in local media suggest some crematoria were stretched to breaking point. ""The number of deaths has doubled from a year ago, and we are completely overworked,"" an official at a funeral home in the suburb of Jiading was cited by local media as saying.",,,,,,,,case_count_not_comparable;death_count_not_comparable,missing_validation_record,passed,complete,true,Collection record could not be validated against held-out records.
eval_002,event_new_mexico_hps_2025,Hantavirus disease,HPS,United States of America,New Mexico,,,2025,reporting_period,2025,annual,,,,,,src_nmdoh_hps_cases_by_county_1975_2025_pdf,https://www.nmhealth.org/data/view/infectious/890/,7,,"HPS Cases in New Mexico by County, 2025, Total = 7.",,,case_count_not_comparable;death_count_not_comparable,missing_collection_record,passed,not_applicable_no_collection_record,true,Held-out validation record had no collection counterpart.
eval_003,event_006,Hantavirus disease,SARS-CoV-2,China,Shanghai,2022-03-01,,2022-03-01,event_start_date,"Since April 17, 2022",cumulative,500000,285,src_search_0a2ee30734f3,https://finance.yahoo.com/news/explainer-shanghai-death-numbers-raise-063847555.html,"China's biggest COVID-19 outbreak, in Shanghai, has again raised questions about the country's official data - especially a death rate that despite a recent jump, remains far lower than elsewhere. HOW LOW IS THE DEATH RATE? Shanghai had reported no COVID-19 deaths for more than a month after the current outbreak began in early March. Yahoo Finance U.S. markets close in 5h 43m EXPLAINER-Shanghai death numbers raise questions over its COVID accounting Recommended Stories More News EXPLAINER-Shanghai death numbers raise questions over its COVID accounting Oops, something went wrong Skip to navigation Skip to main content Skip to right column Yahoo Finance Sign in U.S. markets close in 5h 43m US Markets US Markets Europe Markets Asia Markets Cryptocurrencies Rates Commodities Currencies U.S. markets close in 5h 43m S&P 500 7,409.36 +3.63 +0.05% Dow 30 50,902.52 +116.51 +0.23% Nasdaq 25,864.28 -65.38 -0.25% Russell 2000 2,919.27 +63.84 +2.24% VIX 17.70 -1.22 -6.45% Gold 4,352.30 -11.10 -0.25% ADVERTISEMENT EXPLAINER-Shanghai death numbers raise questions over its COVID accounting David Stanway April 28, 2022 4 min read By David Stanway SHANGHAI, April 28 (Reuters) - China's biggest COVID-19 outbreak, in Shanghai, has again raised questions about the country's official data - especially a death rate that despite a recent jump, remains far lower than elsewhere. HOW LOW IS THE DEATH RATE? Shanghai had reported no COVID-19 deaths for more than a month after the current outbreak began in early March. But deaths suddenly started to creep up over the past 11 days. The city of 25 million people has now reported 285 COVID-related fatalities since April 17, from around confirmed 500,000 cases.",,,,,,,,case_count_not_comparable;death_count_not_comparable,missing_validation_record,passed,complete,true,Collection record could not be validated against held-out records.
eval_004,event_001,Hantavirus disease,,China,Hong Kong,2022-02-01,,2022-02-01,event_start_date,Since February,cumulative,1200000,9000,src_search_0a2ee30734f3,https://finance.yahoo.com/news/explainer-shanghai-death-numbers-raise-063847555.html,"March. But deaths suddenly started to creep up over the past 11 days. The city of 25 million people has now reported 285 COVID-related fatalities since April 17, from around confirmed 500,000 cases. Hong Kong, by comparison, recorded more than 9,000 deaths since February, with around 1.2 million confirmed infections among its 7.4 million residents. Shanghai's numbers are also surprising international observers because of the unusually large proportion of asymptomatic cases. IS CHINA UNDER-REPORTING? COVID first emerged in the central Chinese city of Wuhan in 2019-20, and officially caused around 4,600 fatalities in its first wave, mostly in Wuhan and surrounding Hubei province. China's toll was soon massively overshadowed by deaths across the rest of the world. Several studies have cast doubt on China's numbers, with one released in June 2020 saying they ""fall outside of recognised and accepted medical norms"". It estimated that 36,000 people could have died in Wuhan alone, more than 10 times the official figure. Some experts say Shanghai's low death count is part of that pattern of under-reporting. ""Because of the lockdown, the one consequence is you don't know your neighbour,"" Mai He, a pathologist with Washington University in St. Louis, who was a co-author of the 2020 study. ""They may die in their apartment and you have no idea at all. That happened in Wuhan too,"" he said, adding deaths in Shanghai could now be ""at least"" twice normal levels. ""The main thing is the lack of transparency - without transparency, everything is just a guess,"" said He. ""It's a reasonable guess, it's an educated guess, but it is still a guess."" The Shanghai government did not immediately respond to a request for comment.",,,,,,,,case_count_not_comparable;death_count_not_comparable,missing_validation_record,passed,complete,true,Collection record could not be validated against held-out records.
eval_005,event_002,Hantavirus disease,,China,Shanghai,2022-04-17,,2022-04-17,event_start_date,Since April 17,cumulative,500000,285,src_search_0a2ee30734f3,https://finance.yahoo.com/news/explainer-shanghai-death-numbers-raise-063847555.html,"March. But deaths suddenly started to creep up over the past 11 days. The city of 25 million people has now reported 285 COVID-related fatalities since April 17, from around confirmed 500,000 cases. Hong Kong, by comparison, recorded more than 9,000 deaths since February, with around 1.2 million confirmed infections among its 7.4 million residents. Shanghai's numbers are also surprising international observers because of the unusually large proportion of asymptomatic cases. IS CHINA UNDER-REPORTING? COVID first emerged in the central Chinese city of Wuhan in 2019-20, and officially caused around 4,600 fatalities in its first wave, mostly in Wuhan and surrounding Hubei province. China's toll was soon massively overshadowed by deaths across the rest of the world. Several studies have cast doubt on China's numbers, with one released in June 2020 saying they ""fall outside of recognised and accepted medical norms"". It estimated that 36,000 people could have died in Wuhan alone, more than 10 times the official figure. Some experts say Shanghai's low death count is part of that pattern of under-reporting. ""Because of the lockdown, the one consequence is you don't know your neighbour,"" Mai He, a pathologist with Washington University in St. Louis, who was a co-author of the 2020 study. ""They may die in their apartment and you have no idea at all. That happened in Wuhan too,"" he said, adding deaths in Shanghai could now be ""at least"" twice normal levels. ""The main thing is the lack of transparency - without transparency, everything is just a guess,"" said He. ""It's a reasonable guess, it's an educated guess, but it is still a guess."" The Shanghai government did not immediately respond to a request for comment.",,,,,,,,case_count_not_comparable;death_count_not_comparable,missing_validation_record,passed,complete,true,Collection record could not be validated against held-out records.
eval_006,event_004,Hantavirus disease,,China,Wuhan,,,2020-06-01,as_of_date,,subset,,36000,src_search_0a2ee30734f3,https://finance.yahoo.com/news/explainer-shanghai-death-numbers-raise-063847555.html,"March. But deaths suddenly started to creep up over the past 11 days. The city of 25 million people has now reported 285 COVID-related fatalities since April 17, from around confirmed 500,000 cases. Hong Kong, by comparison, recorded more than 9,000 deaths since February, with around 1.2 million confirmed infections among its 7.4 million residents. Shanghai's numbers are also surprising international observers because of the unusually large proportion of asymptomatic cases. IS CHINA UNDER-REPORTING? COVID first emerged in the central Chinese city of Wuhan in 2019-20, and officially caused around 4,600 fatalities in its first wave, mostly in Wuhan and surrounding Hubei province. China's toll was soon massively overshadowed by deaths across the rest of the world. Several studies have cast doubt on China's numbers, with one released in June 2020 saying they ""fall outside of recognised and accepted medical norms"". It estimated that 36,000 people could have died in Wuhan alone, more than 10 times the official figure. Some experts say Shanghai's low death count is part of that pattern of under-reporting. ""Because of the lockdown, the one consequence is you don't know your neighbour,"" Mai He, a pathologist with Washington University in St. Louis, who was a co-author of the 2020 study. ""They may die in their apartment and you have no idea at all. That happened in Wuhan too,"" he said, adding deaths in Shanghai could now be ""at least"" twice normal levels. ""The main thing is the lack of transparency - without transparency, everything is just a guess,"" said He. ""It's a reasonable guess, it's an educated guess, but it is still a guess."" The Shanghai government did not immediately respond to a request for comment.",,,,,,,,case_count_not_comparable;death_count_not_comparable,missing_validation_record,passed,complete,true,Collection record could not be validated against held-out records.
eval_007,event_003,Hantavirus disease,,China,Wuhan and surrounding Hubei province,2019-01-01,2020-12-31,2019-01-01,event_start_date,,historical_total,,4600,src_search_0a2ee30734f3,https://finance.yahoo.com/news/explainer-shanghai-death-numbers-raise-063847555.html,"March. But deaths suddenly started to creep up over the past 11 days. The city of 25 million people has now reported 285 COVID-related fatalities since April 17, from around confirmed 500,000 cases. Hong Kong, by comparison, recorded more than 9,000 deaths since February, with around 1.2 million confirmed infections among its 7.4 million residents. Shanghai's numbers are also surprising international observers because of the unusually large proportion of asymptomatic cases. IS CHINA UNDER-REPORTING? COVID first emerged in the central Chinese city of Wuhan in 2019-20, and officially caused around 4,600 fatalities in its first wave, mostly in Wuhan and surrounding Hubei province. China's toll was soon massively overshadowed by deaths across the rest of the world. Several studies have cast doubt on China's numbers, with one released in June 2020 saying they ""fall outside of recognised and accepted medical norms"". It estimated that 36,000 people could have died in Wuhan alone, more than 10 times the official figure. Some experts say Shanghai's low death count is part of that pattern of under-reporting. ""Because of the lockdown, the one consequence is you don't know your neighbour,"" Mai He, a pathologist with Washington University in St. Louis, who was a co-author of the 2020 study. ""They may die in their apartment and you have no idea at all. That happened in Wuhan too,"" he said, adding deaths in Shanghai could now be ""at least"" twice normal levels. ""The main thing is the lack of transparency - without transparency, everything is just a guess,"" said He. ""It's a reasonable guess, it's an educated guess, but it is still a guess."" The Shanghai government did not immediately respond to a request for comment.",,,,,,,,case_count_not_comparable;death_count_not_comparable,missing_validation_record,passed,complete,true,Collection record could not be validated against held-out records.
