actual_publishers,canonical_count_value,conflicting_claim_ids,corroborated_event_id,corroboration_confidence,corroboration_reason,corroboration_status,count_field,count_semantics,country,date_or_period,disease,event_cluster_id,human_review_reason,independent_source_count,locality,needs_human_review,observation_type,official_source_support_count,primary_case_dataset_eligible,primary_claim_id,publishers,secondary_source_support_count,source_ids,source_independence_groups,source_urls,statistical_count_type,subnational_location,supporting_claim_ids,unverified_claim_ids,warnings
"[""Centers for Disease Control and Prevention""]",38.0,"[""claim_rec_src_search_7ae413ceb126_001_cases_unspecified"", ""claim_rec_src_search_7ae413ceb126_002_deaths"", ""claim_rec_src_search_7ae413ceb126_003_cases_unspecified"", ""claim_rec_src_search_7ae413ceb126_004_deaths"", ""claim_rec_src_search_ccc444806280_001_cases_unspecified"", ""claim_rec_src_search_ccc444806280_002_cases_unspecified"", ""claim_rec_src_search_b9348b953aaa_001_cases_unspecified"", ""claim_rec_src_search_b9348b953aaa_004_cases_unspecified"", ""claim_rec_src_search_b9348b953aaa_005_cases_unspecified"", ""claim_rec_src_search_b9348b953aaa_006_deaths"", ""claim_rec_src_search_b9348b953aaa_007_cases_unspecified"", ""claim_rec_src_search_b9348b953aaa_008_cases_unspecified"", ""claim_rec_src_search_b9348b953aaa_009_cases_unspecified"", ""claim_rec_src_search_b9348b953aaa_010_cases_unspecified"", ""claim_rec_src_search_d52309fadb48_002_cases_unspecified"", ""claim_rec_src_search_d52309fadb48_002_deaths"", ""claim_rec_src_search_d52309fadb48_005_cases_unspecified"", ""claim_rec_src_search_d52309fadb48_005_deaths"", ""claim_rec_src_search_87c273c59b72_002_cases_unspecified"", ""claim_rec_src_search_87c273c59b72_002_deaths"", ""claim_rec_src_search_87c273c59b72_003_cases_unspecified"", ""claim_rec_src_search_87c273c59b72_003_deaths"", ""claim_rec_src_search_a39e4fa28013_001_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_006_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_007_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_009_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_010_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_011_cases_unspecified"", ""claim_rec_src_search_14d0fc5d0793_001_cases_unspecified"", ""claim_rec_src_search_14d0fc5d0793_004_cases_unspecified"", ""claim_rec_src_search_14d0fc5d0793_005_cases_unspecified"", ""claim_rec_src_search_fc3322f3069f_001_cases_unspecified"", ""claim_rec_src_search_fc3322f3069f_002_cases_unspecified"", ""claim_rec_src_search_99932da268a1_001_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_008_deaths"", ""claim_rec_src_search_14d0fc5d0793_002_deaths"", ""claim_rec_src_search_14d0fc5d0793_004_deaths"", ""claim_rec_src_search_fc3322f3069f_001_deaths"", ""claim_rec_src_search_fc3322f3069f_002_deaths""]",corr_event_001,0.7,Comparable public-health claims conflict and require review.,conflicting_claims,cases_unspecified,case_count,United States of America,2024-08-31,West Nile Virus Disease,event_004,Comparable public-health claims conflict and require review.,5,,True,unspecified_case_record,41,False,claim_rec_src_search_7ae413ceb126_001_cases_unspecified,"[""Centers for Disease Control and Prevention""]",0,"[""src_search_7ae413ceb126"", ""src_search_ccc444806280"", ""src_search_b9348b953aaa"", ""src_search_d52309fadb48"", ""src_search_87c273c59b72"", ""src_search_a39e4fa28013"", ""src_search_14d0fc5d0793"", ""src_search_fc3322f3069f"", ""src_search_99932da268a1""]","[""domain:fresnocountyca_gov"", ""domain:westnile_ca_gov"", ""domain:fresnobee_com"", ""domain:bakersfieldnow_com"", ""domain:vdci_net""]","[""https://www.fresnocountyca.gov/files/sharedassets/county/v/1/public-health/dph-news-releases/2024/09-13-2024-news-release-first-human-death-caused-by-west-nile-virus-in-fresno-county.pdf"", ""https://westnile.ca.gov/download?download_id=4980"", ""https://westnile.ca.gov/download?download_id=5072"", ""https://www.fresnobee.com/news/local/article312243829.html"", ""https://bakersfieldnow.com/news/local/first-human-death-caused-by-west-nile-virus-in-fresno-county"", ""https://westnile.ca.gov/download?download_id=5061"", ""https://westnile.ca.gov/resources.php"", ""https://westnile.ca.gov"", ""https://www.vdci.net/blog/2024-mosquito-borne-disease-year-in-review""]",annual,California,"[""claim_rec_src_search_b9348b953aaa_011_observation"", ""claim_rec_src_search_b9348b953aaa_012_observation""]",[],"[""conflicting_claims""]"
[],1.0,[],corr_event_002,0.9,Claim group classified as corroborated.,corroborated,deaths,death_count,United States of America,2024-08-31,West Nile Virus Disease,event_005,,3,,False,death_record,4,True,claim_rec_src_search_7ae413ceb126_005_deaths,[],0,"[""src_search_7ae413ceb126"", ""src_search_d52309fadb48"", ""src_search_87c273c59b72""]","[""domain:fresnocountyca_gov"", ""domain:fresnobee_com"", ""domain:bakersfieldnow_com""]","[""https://www.fresnocountyca.gov/files/sharedassets/county/v/1/public-health/dph-news-releases/2024/09-13-2024-news-release-first-human-death-caused-by-west-nile-virus-in-fresno-county.pdf"", ""https://www.fresnobee.com/news/local/article312243829.html"", ""https://bakersfieldnow.com/news/local/first-human-death-caused-by-west-nile-virus-in-fresno-county""]",annual,"Fresno County, California","[""claim_rec_src_search_7ae413ceb126_005_deaths"", ""claim_rec_src_search_d52309fadb48_001_deaths"", ""claim_rec_src_search_87c273c59b72_001_cases_confirmed"", ""claim_rec_src_search_87c273c59b72_001_deaths""]",[],[]
[],1.0,[],corr_event_003,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2024-08-31,West Nile Virus Disease,event_026,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,1,False,claim_rec_src_search_b9348b953aaa_002_cases_unspecified,[],0,"[""src_search_b9348b953aaa""]","[""domain:westnile_ca_gov""]","[""https://westnile.ca.gov/download?download_id=5072""]",newly_reported,"Fresno, California","[""claim_rec_src_search_b9348b953aaa_002_cases_unspecified""]","[""claim_rec_src_search_b9348b953aaa_002_cases_unspecified""]","[""single_source_unverified""]"
[],1.0,[],corr_event_004,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2024-08-31,West Nile Virus Disease,event_037,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,1,False,claim_rec_src_search_b9348b953aaa_003_cases_unspecified,[],0,"[""src_search_b9348b953aaa""]","[""domain:westnile_ca_gov""]","[""https://westnile.ca.gov/download?download_id=5072""]",newly_reported,"Yolo, California","[""claim_rec_src_search_b9348b953aaa_003_cases_unspecified""]","[""claim_rec_src_search_b9348b953aaa_003_cases_unspecified""]","[""single_source_unverified""]"
[],11.0,"[""claim_rec_src_search_d52309fadb48_003_cases_unspecified"", ""claim_rec_src_search_c0d70a141aca_001_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_002_cases_unspecified""]",corr_event_005,0.7,Comparable public-health claims conflict and require review.,conflicting_claims,cases_unspecified,cumulative,United States of America,2024-08-31,West Nile Virus Disease,event_027,Comparable public-health claims conflict and require review.,3,,True,unspecified_case_record,4,False,claim_rec_src_search_d52309fadb48_003_cases_unspecified,[],0,"[""src_search_d52309fadb48"", ""src_search_c0d70a141aca"", ""src_search_a39e4fa28013""]","[""domain:fresnobee_com"", ""domain:theintersectionreports_org"", ""domain:westnile_ca_gov""]","[""https://www.fresnobee.com/news/local/article312243829.html"", ""https://theintersectionreports.org/west-nile-virus-spread-by-mosquitoes-claims-a-third-life-in-the-san-joaquin-valley"", ""https://westnile.ca.gov/download?download_id=5061""]",cumulative,"Kern County, California","[""claim_rec_src_search_c0d70a141aca_001_deaths""]",[],"[""conflicting_claims""]"
[],13.0,"[""claim_rec_src_search_d52309fadb48_004_cases_unspecified"", ""claim_rec_src_search_c0d70a141aca_002_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_005_cases_unspecified""]",corr_event_006,0.7,Comparable public-health claims conflict and require review.,conflicting_claims,cases_unspecified,cumulative,United States of America,2024-08-31,West Nile Virus Disease,event_033,Comparable public-health claims conflict and require review.,3,,True,unspecified_case_record,6,False,claim_rec_src_search_d52309fadb48_004_cases_unspecified,[],0,"[""src_search_d52309fadb48"", ""src_search_c0d70a141aca"", ""src_search_a39e4fa28013"", ""src_search_14d0fc5d0793""]","[""domain:fresnobee_com"", ""domain:theintersectionreports_org"", ""domain:westnile_ca_gov""]","[""https://www.fresnobee.com/news/local/article312243829.html"", ""https://theintersectionreports.org/west-nile-virus-spread-by-mosquitoes-claims-a-third-life-in-the-san-joaquin-valley"", ""https://westnile.ca.gov/download?download_id=5061"", ""https://westnile.ca.gov/resources.php""]",cumulative,"Tulare County, California","[""claim_rec_src_search_d52309fadb48_004_deaths"", ""claim_rec_src_search_c0d70a141aca_002_deaths"", ""claim_rec_src_search_14d0fc5d0793_003_deaths""]",[],"[""conflicting_claims""]"
[],2.0,[],corr_event_007,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2024-08-31,West Nile Virus Disease,event_032,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,2,False,claim_rec_src_search_c0d70a141aca_003_cases_unspecified,[],0,"[""src_search_c0d70a141aca""]","[""domain:theintersectionreports_org""]","[""https://theintersectionreports.org/west-nile-virus-spread-by-mosquitoes-claims-a-third-life-in-the-san-joaquin-valley""]",subset,"Stanislaus County, California","[""claim_rec_src_search_c0d70a141aca_003_cases_unspecified"", ""claim_rec_src_search_c0d70a141aca_003_deaths""]","[""claim_rec_src_search_c0d70a141aca_003_cases_unspecified"", ""claim_rec_src_search_c0d70a141aca_003_deaths""]","[""single_source_unverified""]"
[],2.0,[],corr_event_008,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2024-08-31,West Nile Virus Disease,event_030,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,1,False,claim_rec_src_search_a39e4fa28013_003_cases_unspecified,[],0,"[""src_search_a39e4fa28013""]","[""domain:westnile_ca_gov""]","[""https://westnile.ca.gov/download?download_id=5061""]",newly_reported,"Los Angeles County, California","[""claim_rec_src_search_a39e4fa28013_003_cases_unspecified""]","[""claim_rec_src_search_a39e4fa28013_003_cases_unspecified""]","[""single_source_unverified""]"
[],2.0,[],corr_event_009,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2024-08-31,West Nile Virus Disease,event_031,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,1,False,claim_rec_src_search_a39e4fa28013_004_cases_unspecified,[],0,"[""src_search_a39e4fa28013""]","[""domain:westnile_ca_gov""]","[""https://westnile.ca.gov/download?download_id=5061""]",newly_reported,"Sacramento County, California","[""claim_rec_src_search_a39e4fa28013_004_cases_unspecified""]","[""claim_rec_src_search_a39e4fa28013_004_cases_unspecified""]","[""single_source_unverified""]"
