anomaly_id,anomaly_status,anomaly_type,anomaly_unit,compared_field,date_or_period,detection_method,disease,event_cluster_id,evidence_summary,expected_or_reference_value,human_review_audit_ids,human_review_reason,location,needs_human_review,observed_value,reason,recommended_action,record_id,review_decision_ids,severity,source_id,source_ids,source_urls,threshold,validation_result_id,warnings
anom_011,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"In 2024, Brazil reported record numbers in dengue fever including almost 6.49 million probable cases of the disease, with 5,972 deaths.",,[],case count exceeds configured simple anomaly threshold,Brazil,True,6490000.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_9cacbefd56b5_001,[],high,src_search_9cacbefd56b5,"[""src_search_9cacbefd56b5""]","[""https://outbreaknewstoday.substack.com/p/brazil-dengue-2025-the-first-three""]",1000000.0,,[]
anom_012,open,deaths_without_case_reference,record,deaths,2024-03-31,deterministic_anomaly_detection,Dengue,,"In 2024, Brazil reported record numbers in dengue fever including almost 6.49 million probable cases of the disease, with 5,972 deaths.",,[],,Brazil,False,5972.0,deaths present but no comparable case count is available,human_review,rec_src_search_9cacbefd56b5_002,[],low,src_search_9cacbefd56b5,"[""src_search_9cacbefd56b5""]","[""https://outbreaknewstoday.substack.com/p/brazil-dengue-2025-the-first-three""]",,,"[""insufficient_case_reference""]"
anom_013,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"| [Download](/sites/default/files/2024-04/2024-mar-29-phe-epiupdate-dengue-final.pdf ""Epidemiological Update - Increase in dengue cases in the Region of the Americas - 29 March 2024"") | In the Region of the Americas, the highest number of cases of dengue was reported in 2023, with a total of 4,569,464 cases, including 7,665 (0.17%) severe cases and 2,363 deaths (case fatality rate [CFR] 0.052%). During 2024, up to epidemiological week (EW) 12, there were 3,578,414 dengue cases reported to the Health Information Platform for the Americas (PLISA per its acronym in Spanish). Of this, 2,888 cases were characterized as severe dengue (0.08%), and 1,039 fatal cases were reported (case fatality rate 0.029%). The total cases reported through PLISA in 2024 represents an increase of more than three times compared to the same period in 2023 in the Region of the Americas. |",,[],case count exceeds configured simple anomaly threshold,Region of the Americas,True,3578414.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_f4f555107be5_001,[],high,src_search_f4f555107be5,"[""src_search_f4f555107be5""]","[""https://www.paho.org/en/documents/epidemiological-update-increase-dengue-cases-region-americas-29-march-2024""]",1000000.0,,[]
anom_014,open,deaths_without_case_reference,record,deaths,2024-03-31,deterministic_anomaly_detection,Dengue,,"| [Download](/sites/default/files/2024-04/2024-mar-29-phe-epiupdate-dengue-final.pdf ""Epidemiological Update - Increase in dengue cases in the Region of the Americas - 29 March 2024"") | In the Region of the Americas, the highest number of cases of dengue was reported in 2023, with a total of 4,569,464 cases, including 7,665 (0.17%) severe cases and 2,363 deaths (case fatality rate [CFR] 0.052%). During 2024, up to epidemiological week (EW) 12, there were 3,578,414 dengue cases reported to the Health Information Platform for the Americas (PLISA per its acronym in Spanish). Of this, 2,888 cases were characterized as severe dengue (0.08%), and 1,039 fatal cases were reported (case fatality rate 0.029%). The total cases reported through PLISA in 2024 represents an increase of more than three times compared to the same period in 2023 in the Region of the Americas. |",,[],,Region of the Americas,False,1039.0,deaths present but no comparable case count is available,human_review,rec_src_search_f4f555107be5_003,[],low,src_search_f4f555107be5,"[""src_search_f4f555107be5""]","[""https://www.paho.org/en/documents/epidemiological-update-increase-dengue-cases-region-americas-29-march-2024""]",,,"[""insufficient_case_reference""]"
anom_015,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"| [Download](/sites/default/files/2024-04/2024-mar-29-phe-epiupdate-dengue-final.pdf ""Epidemiological Update - Increase in dengue cases in the Region of the Americas - 29 March 2024"") | In the Region of the Americas, the highest number of cases of dengue was reported in 2023, with a total of 4,569,464 cases, including 7,665 (0.17%) severe cases and 2,363 deaths (case fatality rate [CFR] 0.052%). During 2024, up to epidemiological week (EW) 12, there were 3,578,414 dengue cases reported to the Health Information Platform for the Americas (PLISA per its acronym in Spanish). Of this, 2,888 cases were characterized as severe dengue (0.08%), and 1,039 fatal cases were reported (case fatality rate 0.029%). The total cases reported through PLISA in 2024 represents an increase of more than three times compared to the same period in 2023 in the Region of the Americas. |",,[],case count exceeds configured simple anomaly threshold,Region of the Americas,True,4569464.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_f4f555107be5_004,[],high,src_search_f4f555107be5,"[""src_search_f4f555107be5""]","[""https://www.paho.org/en/documents/epidemiological-update-increase-dengue-cases-region-americas-29-march-2024""]",1000000.0,,[]
anom_016,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"6,500,034 dengue cases as of August 20241",,[],case count exceeds configured simple anomaly threshold,Brazil,True,6500034.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_52123c6cbbdd_001,[],high,src_search_52123c6cbbdd,"[""src_search_52123c6cbbdd""]","[""https://www.dengue.com/Dengue-outbreak-in-Brazil-2024""]",1000000.0,,[]
anom_017,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"![Brand](https://www.cofen.gov.br/wp-content/themes/cofen/assets/imagens/logo-cofen.png) ![Transparência e Prestação de Contas](https://www.cofen.gov.br/wp-content/uploads/2023/09/transp_logo-1.png) ###### Transparência e Prestação de Contas ### Dengue aumentou 400% no Brasil em 2024 em comparação ao ano passado ##### Apesar de uma queda recente nos casos, especialistas alertam que a doença voltará a crescer em dezembro 18.10.2024 ![Mosquito Aedes aegypti. Feche um Mosquito sugando sangue humano](https://www.cofen.gov.br/wp-content/uploads/2024/10/mosquito-aedes-aegypti-feche-um-mosquito-sugando-sangue-humano_45334-157.avif) O Brasil registrou 6,5 milhões de casos prováveis de dengue até 7 de outubro de 2024, de acordo com o [Painel de Monitoramento das Arboviroses](https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/a/aedes-aegypti/monitoramento-das-arboviroses) do Ministério da Saúde. O coeficiente de incidência é de 3.221,7 por 100 mil habitantes, enquanto a Organização Mundial da Saúde (OMS) considera que taxas acima de 300 por 100 mil já indicam epidemia. No período, 5.536 pessoas morreram em decorrência da dengue, e outros 1.591 óbitos estão em investigação. Para efeito de comparação, no mesmo período de 2023, foram registrados 1,3 milhão de casos prováveis da doença, com 1.179 mortes confirmadas ao longo do ano. O aumento de casos em 2024 é 400% maior em relação ao ano anterior. Apesar desses números alarmantes, as infecções começaram a cair a partir de abril. A redução se manteve até o final de agosto, mas especialistas alertam para uma possível nova alta em dezembro, com expectativa de pico entre março e abril de 2025. O estado de São Paulo concentra 32,3% dos casos, totalizando 2,1 milhões de infecções e 1.786 mortes.",,[],case count exceeds configured simple anomaly threshold,Brazil,True,6500000.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_0cb54d17a3e3_001,[],high,src_search_0cb54d17a3e3,"[""src_search_0cb54d17a3e3""]","[""https://www.cofen.gov.br/dengue-aumentou-400-no-brasil-em-2024-em-comparacao-ao-ano-passado""]",1000000.0,,[]
anom_018,open,deaths_without_case_reference,record,deaths,2024-03-31,deterministic_anomaly_detection,Dengue,,"![Brand](https://www.cofen.gov.br/wp-content/themes/cofen/assets/imagens/logo-cofen.png) ![Transparência e Prestação de Contas](https://www.cofen.gov.br/wp-content/uploads/2023/09/transp_logo-1.png) ###### Transparência e Prestação de Contas ### Dengue aumentou 400% no Brasil em 2024 em comparação ao ano passado ##### Apesar de uma queda recente nos casos, especialistas alertam que a doença voltará a crescer em dezembro 18.10.2024 ![Mosquito Aedes aegypti. Feche um Mosquito sugando sangue humano](https://www.cofen.gov.br/wp-content/uploads/2024/10/mosquito-aedes-aegypti-feche-um-mosquito-sugando-sangue-humano_45334-157.avif) O Brasil registrou 6,5 milhões de casos prováveis de dengue até 7 de outubro de 2024, de acordo com o [Painel de Monitoramento das Arboviroses](https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/a/aedes-aegypti/monitoramento-das-arboviroses) do Ministério da Saúde. O coeficiente de incidência é de 3.221,7 por 100 mil habitantes, enquanto a Organização Mundial da Saúde (OMS) considera que taxas acima de 300 por 100 mil já indicam epidemia. No período, 5.536 pessoas morreram em decorrência da dengue, e outros 1.591 óbitos estão em investigação. Para efeito de comparação, no mesmo período de 2023, foram registrados 1,3 milhão de casos prováveis da doença, com 1.179 mortes confirmadas ao longo do ano. O aumento de casos em 2024 é 400% maior em relação ao ano anterior. Apesar desses números alarmantes, as infecções começaram a cair a partir de abril. A redução se manteve até o final de agosto, mas especialistas alertam para uma possível nova alta em dezembro, com expectativa de pico entre março e abril de 2025. O estado de São Paulo concentra 32,3% dos casos, totalizando 2,1 milhões de infecções e 1.786 mortes.",,[],,Brazil,False,1591.0,deaths present but no comparable case count is available,human_review,rec_src_search_0cb54d17a3e3_002,[],low,src_search_0cb54d17a3e3,"[""src_search_0cb54d17a3e3""]","[""https://www.cofen.gov.br/dengue-aumentou-400-no-brasil-em-2024-em-comparacao-ao-ano-passado""]",,,"[""insufficient_case_reference""]"
anom_019,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"![Brand](https://www.cofen.gov.br/wp-content/themes/cofen/assets/imagens/logo-cofen.png) ![Transparência e Prestação de Contas](https://www.cofen.gov.br/wp-content/uploads/2023/09/transp_logo-1.png) ###### Transparência e Prestação de Contas ### Dengue aumentou 400% no Brasil em 2024 em comparação ao ano passado ##### Apesar de uma queda recente nos casos, especialistas alertam que a doença voltará a crescer em dezembro 18.10.2024 ![Mosquito Aedes aegypti. Feche um Mosquito sugando sangue humano](https://www.cofen.gov.br/wp-content/uploads/2024/10/mosquito-aedes-aegypti-feche-um-mosquito-sugando-sangue-humano_45334-157.avif) O Brasil registrou 6,5 milhões de casos prováveis de dengue até 7 de outubro de 2024, de acordo com o [Painel de Monitoramento das Arboviroses](https://www.gov.br/saude/pt-br/assuntos/saude-de-a-a-z/a/aedes-aegypti/monitoramento-das-arboviroses) do Ministério da Saúde. O coeficiente de incidência é de 3.221,7 por 100 mil habitantes, enquanto a Organização Mundial da Saúde (OMS) considera que taxas acima de 300 por 100 mil já indicam epidemia. No período, 5.536 pessoas morreram em decorrência da dengue, e outros 1.591 óbitos estão em investigação. Para efeito de comparação, no mesmo período de 2023, foram registrados 1,3 milhão de casos prováveis da doença, com 1.179 mortes confirmadas ao longo do ano. O aumento de casos em 2024 é 400% maior em relação ao ano anterior. Apesar desses números alarmantes, as infecções começaram a cair a partir de abril. A redução se manteve até o final de agosto, mas especialistas alertam para uma possível nova alta em dezembro, com expectativa de pico entre março e abril de 2025. O estado de São Paulo concentra 32,3% dos casos, totalizando 2,1 milhões de infecções e 1.786 mortes.",,[],case count exceeds configured simple anomaly threshold,São Paulo,True,2100000.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_0cb54d17a3e3_005,[],high,src_search_0cb54d17a3e3,"[""src_search_0cb54d17a3e3""]","[""https://www.cofen.gov.br/dengue-aumentou-400-no-brasil-em-2024-em-comparacao-ao-ano-passado""]",1000000.0,,[]
anom_020,open,abrupt_spike_simple_threshold,record,case_count,2024-03-31,deterministic_anomaly_detection,Dengue,,"[Abrir menu principal de navegação](#) [Ministério da Saúde](https://www.gov.br/saude/pt-br) Termos mais buscados * [imposto de renda](https://www.gov.br/saude/pt-br/search?origem=termos&SearchableText=imposto de renda) * [assinatura](https://www.gov.br/saude/pt-br/search?origem=termos&SearchableText=assinatura) * [mei](https://www.gov.br/saude/pt-br/search?origem=termos&SearchableText=mei) * [inss](https://www.gov.br/saude/pt-br/search?origem=termos&SearchableText=inss) * [enem](https://www.gov.br/saude/pt-br/search?origem=termos&SearchableText=enem) Termos mais buscados * [imposto de renda](https://www.gov.br/saude/pt-br/search?origem=termos&SearchableText=imposto de renda) * [assinatura](https://www.gov.br/saude/pt-br/search?origem=termos&SearchableText=assinatura) * [mei](https://www.gov.br/saude/pt-br/search?origem=termos&SearchableText=mei) Info Notícias ARBOVIROSES # Brasil registra queda de quase 70% nos casos de dengue nos 2 primeiros meses de 2025 Segundo painel de monitoramento do Ministério da Saúde, foram contabilizados 493 mil casos prováveis nas primeiras semanas de 2025 contra 1,6 milhão no mesmo período do ano passado [Compartilhe por Facebook](http://www.facebook.com/sharer.php?u=https://www.gov.br/saude/pt-br/assuntos/noticias/2025/marco/brasil-registra-queda-de-quase-70-nos-casos-de-dengue-nos-2-primeiros-meses-de-2025 ""Facebook"") [Compartilhe por Twitter](https://twitter.com/share?text=Brasil%20registra%20queda%20de%20quase%2070%25%20nos%20casos%20de%20dengue%20nos%202%20primeiros%20meses%20de%202025&url=https://www.gov.br/saude/resolveuid/62d391566665414380a6f349ba93b507 ""Twitter"") [Compartilhe por LinkedIn](https://www.linkedin.com/shareArticle?mini=true&url=https://www.gov.br/saude/pt-br/assuntos/noticias/2025/marco/brasil-registra-queda-de-quase",,[],case count exceeds configured simple anomaly threshold,Brazil,True,1600000.0,case count exceeds configured simple anomaly threshold,review_possible_spike_or_extraction_error,rec_src_search_8a863e6c52f9_001,[],medium,src_search_8a863e6c52f9,"[""src_search_8a863e6c52f9""]","[""https://www.gov.br/saude/pt-br/assuntos/noticias/2025/marco/brasil-registra-queda-de-quase-70-nos-casos-de-dengue-nos-2-primeiros-meses-de-2025""]",1000000.0,,[]
