anomaly_id,anomaly_status,anomaly_type,anomaly_unit,compared_field,date_or_period,detection_method,disease,event_cluster_id,evidence_summary,expected_or_reference_value,human_review_audit_ids,human_review_reason,location,needs_human_review,observed_value,reason,recommended_action,record_id,review_decision_ids,severity,source_id,source_ids,source_urls,threshold,validation_result_id,warnings
anom_001,open,deaths_without_case_reference,record,deaths,2026-05,deterministic_anomaly_detection,Hantavirus disease,,"gic Fever with Renal Syndrome (HFRS), occurred during the Korean War in the early 1950s. The causative virus, *Hantaan virus*, was later isolated in 1978 from rodents near the Hantaan River in Korea. Hantavirus Pulmonary Syndrome (HPS) was identified in the Americas during a 1993 outbreak in the US Four Corners region. In May 2026, an outbreak aboard the MV Hondius cruise ship traveling from Argentina to Cape Verde brought renewed global attention: three passengers died and the *Andes strain* — the only hantavirus known to transmit person-to-person — was confirmed in evacuated patients. Investigators traced the source to a bird-watching tour in Ushuaia, Argentina. Symptômes Initial (Prodromal) Symptoms: Fever, fatigue, severe muscle aches (especially in large muscle groups), headache, dizziness, chills. Gastrointestinal Symptoms: Nausea, vomiting, diarrhea, abdominal pain. For Hantavirus Pulmonary Syndrome (HPS): Rapid onset of shortness of breath, cough, and fluid in the lungs, leading to severe respiratory distress. For Hemorrhagic Fever with Renal Syndrome (HFRS): Low blood pressure, acute kidney failure, and hemorrhage (bleeding). Transmission Hantavirus is primarily transmitted to humans through the inhalation of aerosolized particles from the urine, droppings, or saliva of infected rodents. Direct contact with infected rodents, or a rodent bite, can also transmit the virus, but this is less common. Most hantavirus strains do not spread person-to-person. The notable exception is the *Andes virus* found in southern South America, which can transmit between people through close, prolonged contact and was confirmed in the 2026 MV Hondius cruise ship outbreak.",,[],,Ushuaia,False,3.0,deaths present but no comparable case count is available,human_review,rec_src_search_6aa749dc5e67_001,[],low,src_search_6aa749dc5e67,"[""src_search_6aa749dc5e67""]","[""https://viruswatcher.com/fr/outbreaks/hantavirus/virginia""]",,,"[""insufficient_case_reference""]"
anom_002,open,missing_date_for_count_bearing_record,record,date_or_period,,deterministic_anomaly_detection,Hantavirus disease,,"or Disease Control and Prevention des États-Unis Voir les Ressources du CDC → WHO Surveillance mondiale des maladies et directives de l'Organisation Mondiale de la Santé Voir les Ressources de l'OMS → Recherche Dernières recherches évaluées par les pairs et études cliniques Voir la Recherche → Contenu Révisé Médicalement Les informations sur les maladies sur Virus Watcher sont révisées par notre Épidémiologiste en Chef, ancien analyste principal du CDC pour les prévisions FluSight. Les données épidémiques sont agrégées à partir de sources vérifiées notamment BEACON, ProMED, OMS, CDC et plus de 50 agences nationales de santé. Ces informations sont à des fins éducatives et ne doivent pas remplacer les conseils médicaux professionnels. Dernière révision : 2026-06-09 Recent Hantavirus Reports No confirmed cases reported in Virginia yet. Here are the latest Hantavirus reports from our global surveillance network. The MV Hondius (Image: Getty) The number of cases of Hantavirus linked to a cruise ship at the centre of an outbreak has increased to 13, the head of the World Health Organization (WHO) said on Wednesday. A Spanish national who evacuated the cruise ship MV Hondius is now isolati… United States · Alaska · 2026-05-28 It is the second confirmed case of the hantavirus in Spain. A Spaniard placed under quarantine after partaking in a cruise hit by a deadly hantavirus outbreak has tested positive, the Spanish ministry of health said on Monday. ""The patient was transferred to a high-level isolat… Spain · Balearic Islands · 2026-06-01 A British national treated for hantavirus in the Netherlands has been medically evacuated back to the UK, health officials have confirmed.",,[],"count-bearing record has no usable date, reporting period, as-of date, or date anchor",MV Hondius cruise ship outbreak,True,,"count-bearing record has no usable date, reporting period, as-of date, or date anchor",supply_date_or_mark_needs_more_evidence,rec_src_search_6aa749dc5e67_003,[],medium,src_search_6aa749dc5e67,"[""src_search_6aa749dc5e67""]","[""https://viruswatcher.com/fr/outbreaks/hantavirus/virginia""]",,,[]
anom_003,open,missing_date_for_count_bearing_record,record,date_or_period,,deterministic_anomaly_detection,Hantavirus disease,,"or Disease Control and Prevention des États-Unis Voir les Ressources du CDC → WHO Surveillance mondiale des maladies et directives de l'Organisation Mondiale de la Santé Voir les Ressources de l'OMS → Recherche Dernières recherches évaluées par les pairs et études cliniques Voir la Recherche → Contenu Révisé Médicalement Les informations sur les maladies sur Virus Watcher sont révisées par notre Épidémiologiste en Chef, ancien analyste principal du CDC pour les prévisions FluSight. Les données épidémiques sont agrégées à partir de sources vérifiées notamment BEACON, ProMED, OMS, CDC et plus de 50 agences nationales de santé. Ces informations sont à des fins éducatives et ne doivent pas remplacer les conseils médicaux professionnels. Dernière révision : 2026-06-09 Recent Hantavirus Reports No confirmed cases reported in Virginia yet. Here are the latest Hantavirus reports from our global surveillance network. The MV Hondius (Image: Getty) The number of cases of Hantavirus linked to a cruise ship at the centre of an outbreak has increased to 13, the head of the World Health Organization (WHO) said on Wednesday. A Spanish national who evacuated the cruise ship MV Hondius is now isolati… United States · Alaska · 2026-05-28 It is the second confirmed case of the hantavirus in Spain. A Spaniard placed under quarantine after partaking in a cruise hit by a deadly hantavirus outbreak has tested positive, the Spanish ministry of health said on Monday. ""The patient was transferred to a high-level isolat… Spain · Balearic Islands · 2026-06-01 A British national treated for hantavirus in the Netherlands has been medically evacuated back to the UK, health officials have confirmed.",,[],"count-bearing record has no usable date, reporting period, as-of date, or date anchor",Netherlands,True,,"count-bearing record has no usable date, reporting period, as-of date, or date anchor",supply_date_or_mark_needs_more_evidence,rec_src_search_6aa749dc5e67_006,[],medium,src_search_6aa749dc5e67,"[""src_search_6aa749dc5e67""]","[""https://viruswatcher.com/fr/outbreaks/hantavirus/virginia""]",,,[]
anom_004,open,out_of_scope_count_bearing_record,validation_result,task_scope,2026-05-02,deterministic_anomaly_detection,Hantavirus disease,event_006,"May 2026 Hantavirus Outbreak The World Health Organization (WHO) was notified on May 2, 2026, of a possible hantavirus outbreak on the MV Hondius cruise ship in the Atlantic Ocean. Multiple cases, including some fatal cases, have been reported so far. It is possible that there will be more cases. That is because it can take up to six weeks for symptoms to develop after an exposure. For the latest case counts and updates, visit WHO’s website or follow […] Hantavirus May 2026 Hantavirus Outbreak About Andes Virus Infection General Information Information for Healthcare Professionals Hantavirus - Hantavirus Hantavirus Search for: Hantavirus May 2026 Hantavirus Outbreak The World Health Organization (WHO) was notified on May 2, 2026, of a possible hantavirus outbreak on the MV Hondius cruise ship in the Atlantic Ocean. Multiple cases, including some fatal cases, have been reported so far. It is possible that there will be more cases. That is because it can take up to six weeks for symptoms to develop after an exposure. For the latest case counts and updates, visit WHO’s website or follow WHO on social media. The current outbreak is caused by a type of hantavirus called Andes virus . Andes virus is unique. It is the only hantavirus that has been shown to spread from person to person. This spread between people is rare and has only been shown to occur after people start showing symptoms . S igns and symptoms of hantavirus pulmonary syndrome ( HPS ) due to Andes virus appear 4 to 42 days after exposure . VDH believes the risk of this outbreak to the public is very low. Virginians can safely continue with their routine travel as planned. The federal government coordinated the return of 18 U.S. citizens who were on the ship on May 11.","{""disease"": ""hantavirus"", ""location"": ""virginia"", ""time_window"": [2025, 2026]}",[],Stage 10 validation marked record outside requested scope: outside_geography,"MV Hondius cruise ship, Atlantic Ocean",True,"{""disease"": ""Hantavirus disease"", ""location"": ""MV Hondius cruise ship, Atlantic Ocean"", ""date_or_period"": ""2026-05-02""}",Stage 10 validation marked record outside requested scope: outside_geography,confirm_scope_or_reject_record,,[],high,,"[""src_search_b604b9f3bf56""]","[""https://www.vdh.virginia.gov/hantavirus""]",,val_result_001,"[""outside_geography""]"
anom_005,open,out_of_scope_count_bearing_record,validation_result,task_scope,May 2026,deterministic_anomaly_detection,Hantavirus disease,event_007,"gic Fever with Renal Syndrome (HFRS), occurred during the Korean War in the early 1950s. The causative virus, *Hantaan virus*, was later isolated in 1978 from rodents near the Hantaan River in Korea. Hantavirus Pulmonary Syndrome (HPS) was identified in the Americas during a 1993 outbreak in the US Four Corners region. In May 2026, an outbreak aboard the MV Hondius cruise ship traveling from Argentina to Cape Verde brought renewed global attention: three passengers died and the *Andes strain* — the only hantavirus known to transmit person-to-person — was confirmed in evacuated patients. Investigators traced the source to a bird-watching tour in Ushuaia, Argentina. Symptômes Initial (Prodromal) Symptoms: Fever, fatigue, severe muscle aches (especially in large muscle groups), headache, dizziness, chills. Gastrointestinal Symptoms: Nausea, vomiting, diarrhea, abdominal pain. For Hantavirus Pulmonary Syndrome (HPS): Rapid onset of shortness of breath, cough, and fluid in the lungs, leading to severe respiratory distress. For Hemorrhagic Fever with Renal Syndrome (HFRS): Low blood pressure, acute kidney failure, and hemorrhage (bleeding). Transmission Hantavirus is primarily transmitted to humans through the inhalation of aerosolized particles from the urine, droppings, or saliva of infected rodents. Direct contact with infected rodents, or a rodent bite, can also transmit the virus, but this is less common. Most hantavirus strains do not spread person-to-person. The notable exception is the *Andes virus* found in southern South America, which can transmit between people through close, prolonged contact and was confirmed in the 2026 MV Hondius cruise ship outbreak.","{""disease"": ""hantavirus"", ""location"": ""virginia"", ""time_window"": [2025, 2026]}",[],Stage 10 validation marked record outside requested scope: outside_geography,Ushuaia,True,"{""disease"": ""Hantavirus disease"", ""location"": ""Ushuaia"", ""date_or_period"": ""May 2026""}",Stage 10 validation marked record outside requested scope: outside_geography,confirm_scope_or_reject_record,,[],high,,"[""src_search_6aa749dc5e67""]","[""https://viruswatcher.com/fr/outbreaks/hantavirus/virginia""]",,val_result_003,"[""outside_geography""]"
anom_006,open,out_of_scope_count_bearing_record,validation_result,task_scope,,deterministic_anomaly_detection,Hantavirus disease,event_001,"or Disease Control and Prevention des États-Unis Voir les Ressources du CDC → WHO Surveillance mondiale des maladies et directives de l'Organisation Mondiale de la Santé Voir les Ressources de l'OMS → Recherche Dernières recherches évaluées par les pairs et études cliniques Voir la Recherche → Contenu Révisé Médicalement Les informations sur les maladies sur Virus Watcher sont révisées par notre Épidémiologiste en Chef, ancien analyste principal du CDC pour les prévisions FluSight. Les données épidémiques sont agrégées à partir de sources vérifiées notamment BEACON, ProMED, OMS, CDC et plus de 50 agences nationales de santé. Ces informations sont à des fins éducatives et ne doivent pas remplacer les conseils médicaux professionnels. Dernière révision : 2026-06-09 Recent Hantavirus Reports No confirmed cases reported in Virginia yet. Here are the latest Hantavirus reports from our global surveillance network. The MV Hondius (Image: Getty) The number of cases of Hantavirus linked to a cruise ship at the centre of an outbreak has increased to 13, the head of the World Health Organization (WHO) said on Wednesday. A Spanish national who evacuated the cruise ship MV Hondius is now isolati… United States · Alaska · 2026-05-28 It is the second confirmed case of the hantavirus in Spain. A Spaniard placed under quarantine after partaking in a cruise hit by a deadly hantavirus outbreak has tested positive, the Spanish ministry of health said on Monday. ""The patient was transferred to a high-level isolat… Spain · Balearic Islands · 2026-06-01 A British national treated for hantavirus in the Netherlands has been medically evacuated back to the UK, health officials have confirmed.","{""disease"": ""hantavirus"", ""location"": ""virginia"", ""time_window"": [2025, 2026]}",[],Stage 10 validation marked record outside requested scope: insufficient_scope_information;outside_geography,MV Hondius cruise ship outbreak,True,"{""disease"": ""Hantavirus disease"", ""location"": ""MV Hondius cruise ship outbreak"", ""date_or_period"": null}",Stage 10 validation marked record outside requested scope: insufficient_scope_information;outside_geography,confirm_scope_or_reject_record,,[],high,,"[""src_search_6aa749dc5e67""]","[""https://viruswatcher.com/fr/outbreaks/hantavirus/virginia""]",,val_result_005,"[""outside_geography"", ""insufficient_scope_information""]"
anom_007,open,out_of_scope_count_bearing_record,validation_result,task_scope,2026-05-28,deterministic_anomaly_detection,Hantavirus disease,event_004,"or Disease Control and Prevention des États-Unis Voir les Ressources du CDC → WHO Surveillance mondiale des maladies et directives de l'Organisation Mondiale de la Santé Voir les Ressources de l'OMS → Recherche Dernières recherches évaluées par les pairs et études cliniques Voir la Recherche → Contenu Révisé Médicalement Les informations sur les maladies sur Virus Watcher sont révisées par notre Épidémiologiste en Chef, ancien analyste principal du CDC pour les prévisions FluSight. Les données épidémiques sont agrégées à partir de sources vérifiées notamment BEACON, ProMED, OMS, CDC et plus de 50 agences nationales de santé. Ces informations sont à des fins éducatives et ne doivent pas remplacer les conseils médicaux professionnels. Dernière révision : 2026-06-09 Recent Hantavirus Reports No confirmed cases reported in Virginia yet. Here are the latest Hantavirus reports from our global surveillance network. The MV Hondius (Image: Getty) The number of cases of Hantavirus linked to a cruise ship at the centre of an outbreak has increased to 13, the head of the World Health Organization (WHO) said on Wednesday. A Spanish national who evacuated the cruise ship MV Hondius is now isolati… United States · Alaska · 2026-05-28 It is the second confirmed case of the hantavirus in Spain. A Spaniard placed under quarantine after partaking in a cruise hit by a deadly hantavirus outbreak has tested positive, the Spanish ministry of health said on Monday. ""The patient was transferred to a high-level isolat… Spain · Balearic Islands · 2026-06-01 A British national treated for hantavirus in the Netherlands has been medically evacuated back to the UK, health officials have confirmed.","{""disease"": ""hantavirus"", ""location"": ""virginia"", ""time_window"": [2025, 2026]}",[],Stage 10 validation marked record outside requested scope: outside_geography,Alaska,True,"{""disease"": ""Hantavirus disease"", ""location"": ""Alaska"", ""date_or_period"": ""2026-05-28""}",Stage 10 validation marked record outside requested scope: outside_geography,confirm_scope_or_reject_record,,[],high,,"[""src_search_6aa749dc5e67""]","[""https://viruswatcher.com/fr/outbreaks/hantavirus/virginia""]",,val_result_006,"[""outside_geography""]"
anom_008,open,out_of_scope_count_bearing_record,validation_result,task_scope,2026-06-01,deterministic_anomaly_detection,Hantavirus disease,event_003,"or Disease Control and Prevention des États-Unis Voir les Ressources du CDC → WHO Surveillance mondiale des maladies et directives de l'Organisation Mondiale de la Santé Voir les Ressources de l'OMS → Recherche Dernières recherches évaluées par les pairs et études cliniques Voir la Recherche → Contenu Révisé Médicalement Les informations sur les maladies sur Virus Watcher sont révisées par notre Épidémiologiste en Chef, ancien analyste principal du CDC pour les prévisions FluSight. Les données épidémiques sont agrégées à partir de sources vérifiées notamment BEACON, ProMED, OMS, CDC et plus de 50 agences nationales de santé. Ces informations sont à des fins éducatives et ne doivent pas remplacer les conseils médicaux professionnels. Dernière révision : 2026-06-09 Recent Hantavirus Reports No confirmed cases reported in Virginia yet. Here are the latest Hantavirus reports from our global surveillance network. The MV Hondius (Image: Getty) The number of cases of Hantavirus linked to a cruise ship at the centre of an outbreak has increased to 13, the head of the World Health Organization (WHO) said on Wednesday. A Spanish national who evacuated the cruise ship MV Hondius is now isolati… United States · Alaska · 2026-05-28 It is the second confirmed case of the hantavirus in Spain. A Spaniard placed under quarantine after partaking in a cruise hit by a deadly hantavirus outbreak has tested positive, the Spanish ministry of health said on Monday. ""The patient was transferred to a high-level isolat… Spain · Balearic Islands · 2026-06-01 A British national treated for hantavirus in the Netherlands has been medically evacuated back to the UK, health officials have confirmed.","{""disease"": ""hantavirus"", ""location"": ""virginia"", ""time_window"": [2025, 2026]}",[],Stage 10 validation marked record outside requested scope: outside_geography,Balearic Islands,True,"{""disease"": ""Hantavirus disease"", ""location"": ""Balearic Islands"", ""date_or_period"": ""2026-06-01""}",Stage 10 validation marked record outside requested scope: outside_geography,confirm_scope_or_reject_record,,[],high,,"[""src_search_6aa749dc5e67""]","[""https://viruswatcher.com/fr/outbreaks/hantavirus/virginia""]",,val_result_007,"[""outside_geography""]"
anom_009,open,out_of_scope_count_bearing_record,validation_result,task_scope,,deterministic_anomaly_detection,Hantavirus disease,event_002,"or Disease Control and Prevention des États-Unis Voir les Ressources du CDC → WHO Surveillance mondiale des maladies et directives de l'Organisation Mondiale de la Santé Voir les Ressources de l'OMS → Recherche Dernières recherches évaluées par les pairs et études cliniques Voir la Recherche → Contenu Révisé Médicalement Les informations sur les maladies sur Virus Watcher sont révisées par notre Épidémiologiste en Chef, ancien analyste principal du CDC pour les prévisions FluSight. Les données épidémiques sont agrégées à partir de sources vérifiées notamment BEACON, ProMED, OMS, CDC et plus de 50 agences nationales de santé. Ces informations sont à des fins éducatives et ne doivent pas remplacer les conseils médicaux professionnels. Dernière révision : 2026-06-09 Recent Hantavirus Reports No confirmed cases reported in Virginia yet. Here are the latest Hantavirus reports from our global surveillance network. The MV Hondius (Image: Getty) The number of cases of Hantavirus linked to a cruise ship at the centre of an outbreak has increased to 13, the head of the World Health Organization (WHO) said on Wednesday. A Spanish national who evacuated the cruise ship MV Hondius is now isolati… United States · Alaska · 2026-05-28 It is the second confirmed case of the hantavirus in Spain. A Spaniard placed under quarantine after partaking in a cruise hit by a deadly hantavirus outbreak has tested positive, the Spanish ministry of health said on Monday. ""The patient was transferred to a high-level isolat… Spain · Balearic Islands · 2026-06-01 A British national treated for hantavirus in the Netherlands has been medically evacuated back to the UK, health officials have confirmed.","{""disease"": ""hantavirus"", ""location"": ""virginia"", ""time_window"": [2025, 2026]}",[],Stage 10 validation marked record outside requested scope: insufficient_scope_information;outside_geography,Netherlands,True,"{""disease"": ""Hantavirus disease"", ""location"": ""Netherlands"", ""date_or_period"": null}",Stage 10 validation marked record outside requested scope: insufficient_scope_information;outside_geography,confirm_scope_or_reject_record,,[],high,,"[""src_search_6aa749dc5e67""]","[""https://viruswatcher.com/fr/outbreaks/hantavirus/virginia""]",,val_result_008,"[""outside_geography"", ""insufficient_scope_information""]"
