actual_publishers,canonical_count_value,conflicting_claim_ids,corroborated_event_id,corroboration_confidence,corroboration_reason,corroboration_status,count_field,count_semantics,country,date_or_period,disease,event_cluster_id,human_review_reason,independent_source_count,locality,needs_human_review,observation_type,official_source_support_count,primary_case_dataset_eligible,primary_claim_id,publishers,secondary_source_support_count,source_ids,source_independence_groups,source_urls,statistical_count_type,subnational_location,supporting_claim_ids,unverified_claim_ids,warnings
[],0.0,"[""claim_rec_src_search_ccc444806280_001_cases_unspecified"", ""claim_rec_src_search_ccc444806280_002_cases_unspecified"", ""claim_rec_src_search_b9348b953aaa_001_cases_unspecified"", ""claim_rec_src_search_b9348b953aaa_004_cases_unspecified"", ""claim_rec_src_search_b9348b953aaa_005_cases_unspecified"", ""claim_rec_src_search_b9348b953aaa_006_deaths"", ""claim_rec_src_search_b9348b953aaa_007_cases_unspecified"", ""claim_rec_src_search_b9348b953aaa_008_cases_unspecified"", ""claim_rec_src_search_b9348b953aaa_009_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_001_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_006_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_007_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_008_deaths"", ""claim_rec_src_search_a39e4fa28013_009_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_010_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_013_cases_unspecified"", ""claim_rec_src_search_2fc9cc9ad3e4_002_cases_unspecified"", ""claim_rec_src_search_2fc9cc9ad3e4_003_cases_unspecified"", ""claim_rec_src_search_2fc9cc9ad3e4_003_deaths"", ""claim_rec_src_search_2fc9cc9ad3e4_004_cases_unspecified"", ""claim_rec_src_search_a666cd39412c_002_cases_unspecified"", ""claim_rec_src_search_a666cd39412c_003_deaths"", ""claim_rec_src_search_fc3322f3069f_001_cases_unspecified"", ""claim_rec_src_search_fc3322f3069f_002_cases_unspecified"", ""claim_rec_src_search_be93a6fa0503_001_cases_unspecified"", ""claim_rec_src_search_fc3322f3069f_001_deaths"", ""claim_rec_src_search_fc3322f3069f_002_deaths""]",corr_event_001,0.7,Comparable public-health claims conflict and require review.,conflicting_claims,cases_unspecified,case_count,United States of America,2024-08-31,West Nile Virus Disease,event_021,Comparable public-health claims conflict and require review.,3,,True,zero_case_statement,30,False,claim_rec_src_search_ccc444806280_001_cases_unspecified,[],0,"[""src_search_ccc444806280"", ""src_search_b9348b953aaa"", ""src_search_a39e4fa28013"", ""src_search_2fc9cc9ad3e4"", ""src_search_a666cd39412c"", ""src_search_fc3322f3069f"", ""src_search_be93a6fa0503""]","[""domain:westnile_ca_gov"", ""domain:abc30_com"", ""domain:kcra_com""]","[""https://westnile.ca.gov/download?download_id=4980"", ""https://westnile.ca.gov/download?download_id=5072"", ""https://westnile.ca.gov/download?download_id=5061"", ""https://abc30.com/post/3-cases-west-nile-virus-confirmed-fresno-county/15049337"", ""https://www.kcra.com/article/what-to-know-about-west-nile-virus-as-cases-increase-in-northern-california/44964537"", ""https://westnile.ca.gov"", ""https://westnile.ca.gov/download?download_id=5147""]",newly_reported,California,"[""claim_rec_src_search_a39e4fa28013_011_observation"", ""claim_rec_src_search_a39e4fa28013_012_observation"", ""claim_rec_src_search_a666cd39412c_001_cases_unspecified""]",[],"[""conflicting_claims""]"
[],1.0,[],corr_event_002,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2024-08-31,West Nile Virus Disease,event_024,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,1,False,claim_rec_src_search_b9348b953aaa_002_cases_unspecified,[],0,"[""src_search_b9348b953aaa""]","[""domain:westnile_ca_gov""]","[""https://westnile.ca.gov/download?download_id=5072""]",newly_reported,"Fresno, California","[""claim_rec_src_search_b9348b953aaa_002_cases_unspecified""]","[""claim_rec_src_search_b9348b953aaa_002_cases_unspecified""]","[""single_source_unverified""]"
[],1.0,[],corr_event_003,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2024-08-31,West Nile Virus Disease,event_028,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,1,False,claim_rec_src_search_b9348b953aaa_003_cases_unspecified,[],0,"[""src_search_b9348b953aaa""]","[""domain:westnile_ca_gov""]","[""https://westnile.ca.gov/download?download_id=5072""]",newly_reported,"Yolo, California","[""claim_rec_src_search_b9348b953aaa_003_cases_unspecified""]","[""claim_rec_src_search_b9348b953aaa_003_cases_unspecified""]","[""single_source_unverified""]"
[],13.0,"[""claim_rec_src_search_c0d70a141aca_001_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_002_cases_unspecified""]",corr_event_004,0.7,Comparable public-health claims conflict and require review.,conflicting_claims,cases_unspecified,case_count,United States of America,2024-08-31,West Nile Virus Disease,event_025,Comparable public-health claims conflict and require review.,2,,True,unspecified_case_record,3,False,claim_rec_src_search_c0d70a141aca_001_cases_unspecified,[],0,"[""src_search_c0d70a141aca"", ""src_search_a39e4fa28013""]","[""domain:theintersectionreports_org"", ""domain:westnile_ca_gov""]","[""https://theintersectionreports.org/west-nile-virus-spread-by-mosquitoes-claims-a-third-life-in-the-san-joaquin-valley"", ""https://westnile.ca.gov/download?download_id=5061""]",cumulative,"Kern County, California","[""claim_rec_src_search_c0d70a141aca_001_deaths""]",[],"[""conflicting_claims""]"
[],13.0,"[""claim_rec_src_search_c0d70a141aca_002_cases_unspecified"", ""claim_rec_src_search_a39e4fa28013_005_cases_unspecified""]",corr_event_005,0.7,Comparable public-health claims conflict and require review.,conflicting_claims,cases_unspecified,case_count,United States of America,2024-08-31,West Nile Virus Disease,event_027,Comparable public-health claims conflict and require review.,2,,True,unspecified_case_record,3,False,claim_rec_src_search_c0d70a141aca_002_cases_unspecified,[],0,"[""src_search_c0d70a141aca"", ""src_search_a39e4fa28013""]","[""domain:theintersectionreports_org"", ""domain:westnile_ca_gov""]","[""https://theintersectionreports.org/west-nile-virus-spread-by-mosquitoes-claims-a-third-life-in-the-san-joaquin-valley"", ""https://westnile.ca.gov/download?download_id=5061""]",cumulative,"Tulare County, California","[""claim_rec_src_search_c0d70a141aca_002_deaths""]",[],"[""conflicting_claims""]"
[],2.0,[],corr_event_006,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2024-08-31,West Nile Virus Disease,event_026,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,2,False,claim_rec_src_search_c0d70a141aca_003_cases_unspecified,[],0,"[""src_search_c0d70a141aca""]","[""domain:theintersectionreports_org""]","[""https://theintersectionreports.org/west-nile-virus-spread-by-mosquitoes-claims-a-third-life-in-the-san-joaquin-valley""]",cumulative,"Stanislaus County, California","[""claim_rec_src_search_c0d70a141aca_003_cases_unspecified"", ""claim_rec_src_search_c0d70a141aca_003_deaths""]","[""claim_rec_src_search_c0d70a141aca_003_cases_unspecified"", ""claim_rec_src_search_c0d70a141aca_003_deaths""]","[""single_source_unverified""]"
[],2.0,[],corr_event_007,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2024-08-31,West Nile Virus Disease,event_006,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,1,False,claim_rec_src_search_a39e4fa28013_003_cases_unspecified,[],0,"[""src_search_a39e4fa28013""]","[""domain:westnile_ca_gov""]","[""https://westnile.ca.gov/download?download_id=5061""]",newly_reported,"Los Angeles County, California","[""claim_rec_src_search_a39e4fa28013_003_cases_unspecified""]","[""claim_rec_src_search_a39e4fa28013_003_cases_unspecified""]","[""single_source_unverified""]"
[],2.0,[],corr_event_008,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,United States of America,2024-08-31,West Nile Virus Disease,event_007,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,1,False,claim_rec_src_search_a39e4fa28013_004_cases_unspecified,[],0,"[""src_search_a39e4fa28013""]","[""domain:westnile_ca_gov""]","[""https://westnile.ca.gov/download?download_id=5061""]",newly_reported,"Sacramento County, California","[""claim_rec_src_search_a39e4fa28013_004_cases_unspecified""]","[""claim_rec_src_search_a39e4fa28013_004_cases_unspecified""]","[""single_source_unverified""]"
[],3.0,[],corr_event_009,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_confirmed,cumulative,United States of America,2024-08-31,West Nile Virus Disease,event_023,Primary case claim has no independent corroborating source.,1,,True,confirmed_case_record,1,False,claim_rec_src_search_2fc9cc9ad3e4_001_cases_confirmed,[],0,"[""src_search_2fc9cc9ad3e4""]","[""domain:abc30_com""]","[""https://abc30.com/post/3-cases-west-nile-virus-confirmed-fresno-county/15049337""]",cumulative,"Fresno County, California","[""claim_rec_src_search_2fc9cc9ad3e4_001_cases_confirmed""]","[""claim_rec_src_search_2fc9cc9ad3e4_001_cases_confirmed""]","[""single_source_unverified""]"
