actual_publishers,canonical_count_value,conflicting_claim_ids,corroborated_event_id,corroboration_confidence,corroboration_reason,corroboration_status,count_field,count_semantics,country,date_or_period,disease,event_cluster_id,human_review_reason,independent_source_count,locality,needs_human_review,observation_type,official_source_support_count,primary_case_dataset_eligible,primary_claim_id,publishers,secondary_source_support_count,source_ids,source_independence_groups,source_urls,statistical_count_type,subnational_location,supporting_claim_ids,unverified_claim_ids,warnings
[],800000.0,"[""claim_rec_src_search_df7c57966665_001_cases_unspecified"", ""claim_rec_src_search_5fd7d33501e8_002_cases_unspecified"", ""claim_rec_src_search_6dae7aeadbda_001_cases_probable"", ""claim_rec_src_search_6dae7aeadbda_003_cases_unspecified""]",corr_event_001,0.7,Comparable public-health claims conflict and require review.,conflicting_claims,cases_unspecified,case_count,Brazil,2024-03-31,Dengue,event_007,Comparable public-health claims conflict and require review.,3,,True,unspecified_case_record,4,False,claim_rec_src_search_df7c57966665_001_cases_unspecified,[],4,"[""src_search_df7c57966665"", ""src_search_5fd7d33501e8"", ""src_search_6dae7aeadbda""]","[""domain:healthpolicy_watch_news"", ""domain:apm_org_br"", ""domain:scielo_br""]","[""https://healthpolicy-watch.news/brazil-tries-new-vaccine-as-exponential-rise-in-dengue-cases-plagues-the-americas"", ""https://www.apm.org.br/ministerio-da-saude-divulga-novos-dados-da-dengue-e-demais-arboviroses"", ""https://www.scielo.br/j/rsbmt/a/gTT8ZZVR8g4Xx9xQPyp4GBz?format=html&lang=en""]",cumulative,,"[""claim_rec_src_search_5fd7d33501e8_001_cases_suspected"", ""claim_rec_src_search_5fd7d33501e8_001_deaths"", ""claim_rec_src_search_5fd7d33501e8_003_observation"", ""claim_rec_src_search_6dae7aeadbda_002_deaths""]",[],"[""conflicting_claims""]"
[],,[],corr_event_002,0.7,Claim group classified as insufficient_information.,insufficient_information,,case_count,Brazil,2024-03-31,Dengue,event_014,,1,,False,outbreak_summary,1,False,claim_rec_src_search_4e6c9d96071d_001_observation,[],0,"[""src_search_4e6c9d96071d""]","[""domain:journalmbr_com_br""]","[""https://journalmbr.com.br/index.php/jmbr/article/view/427""]",annual,Southeast region,"[""claim_rec_src_search_4e6c9d96071d_001_observation""]",[],[]
[],324776.0,[],corr_event_003,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_suspected,case_count,Brazil,2024-03-31,Dengue,event_010,Primary case claim has no independent corroborating source.,1,,True,suspected_case_record,4,False,claim_rec_src_search_9baddae323c5_001_cases_suspected,[],0,"[""src_search_9baddae323c5""]","[""domain:saude_df_gov_br""]","[""https://saude.df.gov.br/documents/37101/0/52_BOLETIM_SEMANAL_DENGUE_SE_52+DF+2024.pdf/93054779-dc46-bacf-24d2-39da8c85ecc7?t=1736196099692""]",cumulative,Distrito Federal,"[""claim_rec_src_search_9baddae323c5_001_cases_suspected"", ""claim_rec_src_search_9baddae323c5_002_cases_probable"", ""claim_rec_src_search_9baddae323c5_003_cases_probable"", ""claim_rec_src_search_9baddae323c5_004_cases_probable""]","[""claim_rec_src_search_9baddae323c5_001_cases_suspected"", ""claim_rec_src_search_9baddae323c5_002_cases_probable"", ""claim_rec_src_search_9baddae323c5_003_cases_probable"", ""claim_rec_src_search_9baddae323c5_004_cases_probable""]","[""single_source_unverified""]"
[],35143.0,[],corr_event_004,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_confirmed,death_count,Brazil,2024-03-31,Dengue,event_013,Primary case claim has no independent corroborating source.,1,,True,confirmed_case_record,3,False,claim_rec_src_search_2eb1c67db46f_001_cases_confirmed,[],0,"[""src_search_2eb1c67db46f""]","[""domain:ghc_com_br""]","[""https://www.ghc.com.br/files/DENGUE_SE26.pdf""]",cumulative,Rio Grande do Sul,"[""claim_rec_src_search_2eb1c67db46f_001_cases_confirmed"", ""claim_rec_src_search_2eb1c67db46f_001_cases_suspected"", ""claim_rec_src_search_2eb1c67db46f_001_deaths""]","[""claim_rec_src_search_2eb1c67db46f_001_cases_confirmed"", ""claim_rec_src_search_2eb1c67db46f_001_cases_suspected"", ""claim_rec_src_search_2eb1c67db46f_001_deaths""]","[""single_source_unverified""]"
[],15999.0,[],corr_event_005,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_confirmed,death_count,Brazil,2024-03-31,Dengue,event_012,Primary case claim has no independent corroborating source.,1,,True,confirmed_case_record,3,False,claim_rec_src_search_2eb1c67db46f_002_cases_confirmed,[],0,"[""src_search_2eb1c67db46f""]","[""domain:ghc_com_br""]","[""https://www.ghc.com.br/files/DENGUE_SE26.pdf""]",cumulative,Porto Alegre,"[""claim_rec_src_search_2eb1c67db46f_002_cases_confirmed"", ""claim_rec_src_search_2eb1c67db46f_002_cases_suspected"", ""claim_rec_src_search_2eb1c67db46f_002_deaths""]","[""claim_rec_src_search_2eb1c67db46f_002_cases_confirmed"", ""claim_rec_src_search_2eb1c67db46f_002_cases_suspected"", ""claim_rec_src_search_2eb1c67db46f_002_deaths""]","[""single_source_unverified""]"
[],,[],corr_event_006,0.7,Claim group classified as insufficient_information.,insufficient_information,,other,Brazil,2024-03-05,Dengue,event_008,,1,,False,ambiguous_public_health_observation,2,False,claim_rec_src_search_86d6f702e073_001_observation,[],0,"[""src_search_86d6f702e073""]","[""domain:static_poder360_com_br""]","[""https://static.poder360.com.br/2024/03/boletim-semanal-dengue-ministerio-saude-mar.2024.pdf""]",cumulative,,"[""claim_rec_src_search_86d6f702e073_001_observation"", ""claim_rec_src_search_86d6f702e073_002_observation""]",[],[]
[],4565911.0,[],corr_event_007,0.7,Primary case claim has no independent corroborating source.,single_source_unverified,cases_unspecified,case_count,,2024-03-31,Dengue,event_001,Primary case claim has no independent corroborating source.,1,,True,unspecified_case_record,0,False,claim_rec_src_search_df7c57966665_002_cases_unspecified,[],3,"[""src_search_df7c57966665""]","[""domain:healthpolicy_watch_news""]","[""https://healthpolicy-watch.news/brazil-tries-new-vaccine-as-exponential-rise-in-dengue-cases-plagues-the-americas""]",annual,,"[""claim_rec_src_search_df7c57966665_002_cases_unspecified"", ""claim_rec_src_search_df7c57966665_002_deaths"", ""claim_rec_src_search_df7c57966665_003_cases_unspecified""]","[""claim_rec_src_search_df7c57966665_002_cases_unspecified"", ""claim_rec_src_search_df7c57966665_002_deaths"", ""claim_rec_src_search_df7c57966665_003_cases_unspecified""]","[""single_source_unverified""]"
